locality,bhk,furnished,condition,type,price
Koregaon Park,1,Furnished,Rent,None,36216
Koregaon Park,1,Furnished,Rent,None,29117
Koregaon Park,1,Furnished,Rent,None,28806
Koregaon Park,1,Furnished,Rent,None,29951
Koregaon Park,1,Furnished,Rent,None,30632
Koregaon Park,1,Furnished,Rent,None,38061
Koregaon Park,1,Furnished,Rent,None,29403
Koregaon Park,1,Furnished,Rent,None,34727
Koregaon Park,1,Furnished,Rent,None,29067
Koregaon Park,1,Furnished,Rent,None,28818
Koregaon Park,1,Furnished,Rent,None,29581
Koregaon Park,1,Furnished,Rent,None,37587
Koregaon Park,1,Furnished,Buy,New,9374299
Koregaon Park,1,Furnished,Buy,New,8417227
Koregaon Park,1,Furnished,Buy,New,9354623
Koregaon Park,1,Furnished,Buy,New,8848814
Koregaon Park,1,Furnished,Buy,New,8960832
Koregaon Park,1,Furnished,Buy,New,8500398
Koregaon Park,1,Furnished,Buy,New,9363523
Koregaon Park,1,Furnished,Buy,New,8656260
Koregaon Park,1,Furnished,Buy,New,8537497
Koregaon Park,1,Furnished,Buy,New,7538863
Koregaon Park,1,Furnished,Buy,New,9100437
Koregaon Park,1,Furnished,Buy,New,8729381
Koregaon Park,1,Furnished,Buy,PreOwned,7098880
Koregaon Park,1,Furnished,Buy,PreOwned,7075157
Koregaon Park,1,Furnished,Buy,PreOwned,6265895
Koregaon Park,1,Furnished,Buy,PreOwned,6813628
Koregaon Park,1,Furnished,Buy,PreOwned,6656692
Koregaon Park,1,Furnished,Buy,PreOwned,6151307
Koregaon Park,1,Furnished,Buy,PreOwned,6207602
Koregaon Park,1,Furnished,Buy,PreOwned,6573483
Koregaon Park,1,Furnished,Buy,PreOwned,6453858
Koregaon Park,1,Furnished,Buy,PreOwned,7560521
Koregaon Park,1,Furnished,Buy,PreOwned,7171978
Koregaon Park,1,Furnished,Buy,PreOwned,6983413
Koregaon Park,1,Non-Furnished,Rent,None,25479
Koregaon Park,1,Non-Furnished,Rent,None,23877
Koregaon Park,1,Non-Furnished,Rent,None,25172
Koregaon Park,1,Non-Furnished,Rent,None,27311
Koregaon Park,1,Non-Furnished,Rent,None,23060
